,Country,Number of Users,Average Rating
5083,Sweden,22,6.76
5084,Switzerland,3,7.67
5085,Taiwan,1,5.0
5086,Thailand,3,8.17
5087,USA,586,6.83
5088,Argentina,17,8.56
5089,Australia,100,8.11
5090,Austria,11,8.82
5091,Azerbaijan,1,9.0
5092,Belarus,2,9.0
5093,Belgium,57,8.59
5094,Bolivia,1,10.0
5095,Brazil,88,8.78
5096,Bulgaria,1,8.0
5097,Canada,366,8.16
5098,Chile,22,8.86
5099,China,36,8.32
5100,Colombia,6,7.97
5101,Croatia,6,7.83
5102,Czech Republic,17,8.24
5103,Denmark,24,8.47
5104,Ecuador,1,7.0
5105,England,16,8.48
5106,Estonia,11,8.33
5107,Finland,43,8.58
5108,France,27,8.71
5109,Germany,183,8.44
5110,Greece,42,8.4
5111,Guatemala,1,9.5
5112,Hungary,15,8.57
5113,Iceland,3,8.33
5114,India,6,9.08
5115,Indonesia,4,8.48
5116,Ireland,13,7.77
5117,Israel,16,8.05
5118,Italy,75,8.18
5119,Japan,31,7.45
5120,Latvia,6,7.5
5121,Lebanon,1,8.0
5122,Lithuania,16,8.41
5123,Luxembourg,3,8.9
5124,Macedonia,1,9.0
5125,Malaysia,12,8.66
5126,Mexico,18,8.63
5127,Moldova,1,10.0
5128,Mongolia,1,10.0
5129,Netherlands,50,8.34
5130,New Zealand,26,7.89
5131,Norway,24,8.48
5132,Panama,1,7.0
5133,Peru,3,8.0
5134,Philippines,8,8.06
5135,Poland,126,8.34
5136,Portugal,24,8.08
5137,Qatar,1,8.2
5138,Romania,21,8.3
5139,Russia,21,8.06
5140,Saudi Arabia,1,7.5
5141,Republic of Serbia,7,8.79
5142,Slovakia,4,8.5
5143,Slovenia,5,8.52
5144,South Africa,8,8.5
5145,South Korea,34,8.61
5146,Spain,179,8.38
5147,Sri Lanka,1,9.0
5148,Sweden,64,7.89
5149,Switzerland,15,8.9
5150,Taiwan,35,8.32
5151,Thailand,15,8.23
5152,Turkey,3,9.33
5153,Ukraine,9,8.68
5154,USA,1993,8.24
5155,Uruguay,1,6.0
5156,Venezuela,2,9.5
5157,Vietnam,3,8.58
5158,Argentina,19,8.64
5159,Australia,119,8.38
5160,Austria,18,9.45
5161,Belarus,2,7.75
5162,Belgium,69,8.95
5163,Bolivia,1,9.0
5164,Brazil,125,9.08
5165,Brunei,1,7.0
5166,Bulgaria,3,9.67
5167,Canada,421,8.49
5168,Chile,18,8.66
5169,China,40,9.09
5170,Colombia,9,8.44
5171,Croatia,11,8.85
5172,Czech Republic,25,8.87
5173,Denmark,30,8.75
5174,England,17,8.17
5175,Estonia,8,7.95
5176,Finland,63,8.71
5177,France,43,8.93
5178,Germany,218,9.01
5179,Greece,60,8.77
5180,Guatemala,1,10.0
5181,Honduras,1,8.8
5182,Hungary,19,8.99
5183,Iceland,2,8.0
5184,India,5,8.3
5185,Indonesia,6,8.67
5186,Ireland,13,8.6
5187,Israel,22,8.95
5188,Italy,109,8.92
5189,Japan,40,8.1
5190,Latvia,7,8.11
5191,Lithuania,12,8.77
5192,Luxembourg,3,9.0
5193,Malaysia,14,8.79
5194,Mexico,21,8.72
5195,Moldova,1,10.0
5196,Mongolia,1,9.0
5197,Netherlands,82,8.59
5198,New Zealand,42,8.74
5199,Norway,31,8.7
5200,Panama,1,9.0
5201,Peru,5,8.0
5202,Philippines,6,7.58
5203,Poland,141,8.62
5204,Portugal,30,8.5
5205,Qatar,1,8.8
5206,Romania,18,9.26
5207,Russia,16,8.38
5208,Republic of Serbia,12,8.17
5209,Slovakia,5,7.61
5210,Slovenia,6,9.0
5211,South Africa,9,8.91
5212,South Korea,51,8.95
5213,Spain,186,8.71
5214,Sweden,97,8.37
5215,Switzerland,16,8.78
5216,Taiwan,40,8.7
5217,Thailand,11,6.49
5218,Turkey,1,9.5
5219,Ukraine,9,7.44
5220,USA,2484,8.4
5221,Venezuela,3,9.0
5222,Vietnam,2,7.75
5223,Argentina,4,7.75
5224,Australia,34,7.31
5225,Austria,7,6.64
5226,Belarus,1,9.0
5227,Belgium,13,7.14
5228,Brazil,7,7.84
5229,Brunei,1,9.0
5230,Bulgaria,1,10.0
5231,Canada,76,7.11
5232,Chile,1,9.0
5233,China,3,6.5
5234,Colombia,1,10.0
5235,Croatia,2,7.4
5236,Denmark,5,5.2
5237,England,6,7.33
5238,Finland,8,7.23
5239,France,12,7.08
5240,Germany,91,6.92
5241,Greece,4,7.5
5242,Guatemala,1,8.0
5243,Hungary,12,7.78
5244,India,1,8.0
5245,Ireland,3,5.33
5246,Israel,2,5.5
5247,Italy,14,7.32
5248,Japan,16,6.06
5249,Luxembourg,1,9.0
5250,Mexico,5,8.41
5251,Netherlands,22,6.93
5252,New Zealand,9,7.03
5253,Norway,10,5.95
5254,Philippines,1,6.0
5255,Poland,19,7.58
5256,Portugal,4,7.75
5257,Romania,8,8.5
5258,Russia,1,10.0
5259,Saudi Arabia,1,9.0
5260,Slovenia,1,9.0
5261,South Africa,1,9.0
5262,South Korea,8,7.0
5263,Spain,19,7.14
5264,Sweden,6,5.83
5265,Switzerland,8,7.06
5266,Taiwan,10,7.08
5267,Thailand,2,8.15
5268,Ukraine,1,8.0
5269,USA,633,7.12
5270,Vietnam,1,7.0
5271,Argentina,6,7.42
5272,Australia,51,7.71
5273,Austria,11,8.0
5274,Belgium,23,7.73
5275,Brazil,27,8.06
5276,Bulgaria,1,7.0
5277,Canada,152,7.95
5278,Chile,2,5.9
5279,China,15,7.69
5280,Colombia,1,9.0
5281,Czech Republic,5,7.3
5282,Denmark,7,7.57
5283,England,9,7.13
5284,Estonia,4,7.55
5285,Finland,22,8.05
5286,France,14,7.57
5287,Germany,86,8.11
5288,Greece,11,7.28
5289,Hungary,9,8.22
5290,Iceland,1,7.5
5291,India,2,8.5
5292,Indonesia,2,5.5
5293,Ireland,3,7.17
5294,Israel,7,6.43
5295,Italy,32,8.06
5296,Japan,37,7.49
5297,Latvia,2,8.0
5298,Lithuania,4,6.5
5299,Malaysia,9,7.5
5300,Mexico,1,8.1
5301,Moldova,1,9.0
5302,Netherlands,32,7.61
5303,New Zealand,19,8.03
5304,Norway,11,8.59
5305,Philippines,1,10.0
5306,Poland,22,7.09
5307,Portugal,7,7.26
5308,Romania,1,9.5
5309,Russia,2,6.0
5310,Saudi Arabia,1,8.0
5311,Republic of Serbia,1,7.0
5312,Slovakia,1,3.0
5313,Slovenia,2,9.5
5314,South Africa,3,8.0
5315,South Korea,36,8.32
5316,Spain,56,7.88
5317,Sweden,20,7.9
5318,Switzerland,7,8.64
5319,Taiwan,21,8.19
5320,Thailand,5,7.0
5321,Ukraine,2,7.0
5322,USA,983,7.91
5323,Uruguay,1,9.0
5324,Venezuela,2,8.0
5325,Argentina,6,7.78
5326,Australia,63,8.08
5327,Austria,10,8.65
5328,Belarus,2,7.5
5329,Belgium,22,8.21
5330,Bolivia,2,9.25
5331,Brazil,63,7.97
5332,Bulgaria,3,9.0
5333,Canada,219,8.02
5334,Chile,5,7.96
5335,China,31,8.25
5336,Colombia,3,9.0
5337,Croatia,3,7.63
5338,Czech Republic,14,7.25
5339,Denmark,17,7.39
5340,England,8,8.64
5341,Estonia,7,6.31
5342,Finland,37,8.09
5343,France,35,8.45
5344,Germany,129,8.05
5345,Greece,25,8.0
5346,Guatemala,1,9.0
5347,Hungary,12,7.92
5348,Iceland,2,8.75
5349,India,2,7.5
5350,Indonesia,5,8.16
5351,Ireland,7,7.79
5352,Israel,11,7.89
5353,Italy,42,7.87
5354,Japan,24,7.04
5355,Latvia,4,7.05
5356,Lithuania,10,8.2
5357,Luxembourg,1,10.0
5358,Malaysia,11,8.03
5359,Mexico,5,6.88
5360,Netherlands,29,8.28
5361,New Zealand,21,7.97
5362,Norway,15,7.33
5363,Panama,1,8.5
5364,Peru,1,9.0
5365,Philippines,6,7.25
5366,Poland,75,8.34
5367,Portugal,11,8.22
5368,Qatar,1,6.2
5369,Romania,7,8.63
5370,Russia,20,7.93
5371,Republic of Serbia,7,7.71
5372,Slovakia,1,8.5
5373,Slovenia,2,9.0
5374,South Africa,6,7.75
5375,South Korea,27,7.29
5376,Spain,92,8.33
5377,Sweden,40,7.44
5378,Switzerland,15,8.56
5379,Taiwan,24,8.6
5380,Thailand,5,8.2
5381,Ukraine,7,8.79
5382,USA,1392,7.86
5383,Uruguay,1,10.0
5384,Venezuela,2,9.0
5385,Vietnam,1,5.5
5386,Australia,24,7.97
5387,Austria,10,8.7
5388,Belarus,1,9.0
5389,Belgium,16,8.52
5390,Brazil,9,8.54
5391,Brunei,1,8.0
5392,Canada,81,7.96
5393,Chile,2,8.25
5394,Croatia,1,9.0
5395,Czech Republic,4,6.75
5396,Denmark,11,8.36
5397,England,8,7.72
5398,Estonia,6,7.83
5399,Finland,18,7.74
5400,France,8,8.31
5401,Germany,68,7.91
5402,Greece,6,7.75
5403,Hungary,6,8.17
5404,India,2,9.5
5405,Indonesia,1,8.5
5406,Ireland,2,8.0
5407,Israel,2,10.0
5408,Italy,21,7.64
5409,Japan,6,4.5
5410,Latvia,3,8.57
5411,Lithuania,6,8.5
5412,Malaysia,7,8.36
5413,Mexico,2,9.6
5414,Netherlands,14,8.07
5415,New Zealand,12,7.96
5416,Norway,11,8.27
5417,Philippines,1,6.0
5418,Poland,18,8.11
5419,Portugal,5,7.5
5420,Romania,1,8.0
5421,Russia,2,7.5
5422,Slovakia,1,1.0
5423,Slovenia,1,9.0
5424,South Korea,1,7.0
5425,Spain,37,7.87
5426,Sweden,17,7.93
5427,Switzerland,7,8.94
5428,Taiwan,5,7.96
5429,Thailand,2,7.5
5430,Ukraine,1,6.0
5431,USA,510,7.96
5432,Uruguay,1,9.0
5433,Argentina,3,5.0
5434,Australia,71,5.94
5435,Austria,11,5.5
5436,The Bahamas,1,8.0
5437,Belgium,37,5.96
5438,Bolivia,1,7.0
5439,Brazil,18,5.43
5440,Bulgaria,3,8.33
5441,Canada,277,6.29
5442,Chile,12,6.54
5443,China,4,5.25
5444,Colombia,8,7.61
5445,Costa Rica,1,6.0
5446,Croatia,9,5.8
5447,Czech Republic,2,5.5
5448,Denmark,25,5.74
5449,England,9,6.69
5450,Estonia,4,5.88
5451,Fiji,1,6.0
5452,Finland,30,5.73
5453,France,20,6.31
5454,Germany,117,6.0
5455,Greece,29,6.77
5456,Guatemala,1,7.0
5457,Hungary,22,6.24
5458,Iceland,1,8.0
5459,India,2,5.5
5460,Indonesia,1,8.0
5461,Ireland,6,5.67
5462,Israel,6,5.75
5463,Italy,50,6.64
5464,Japan,6,5.5
5465,Latvia,5,5.7
5466,Lithuania,9,5.61
5467,Macedonia,1,6.0
5468,Malaysia,6,5.33
5469,Mexico,21,7.09
5470,Moldova,1,9.0
5471,Netherlands,64,6.16
5472,New Zealand,17,5.45
5473,Norway,25,6.08
5474,Paraguay,1,7.0
5475,Peru,3,6.67
5476,Philippines,4,4.5
5477,Poland,26,5.46
5478,Portugal,26,6.54
5479,Qatar,2,6.7
5480,Romania,8,7.15
5481,Russia,5,5.05
5482,Saudi Arabia,1,5.0
5483,Republic of Serbia,5,6.0
5484,Slovenia,6,6.25
5485,South Africa,5,5.8
5486,South Korea,4,6.75
5487,Spain,109,6.65
5488,Sweden,51,6.08
5489,Switzerland,10,6.45
5490,Taiwan,1,8.5
5491,Thailand,1,8.0
5492,Turkey,2,8.5
5493,USA,1476,6.14
5494,Venezuela,1,10.0
5495,Argentina,7,7.77
5496,Australia,26,7.63
5497,Austria,10,8.32
5498,Belarus,1,8.5
5499,Belgium,11,8.27
5500,Bolivia,1,9.0
5501,Brazil,31,8.64
5502,Bulgaria,3,9.33
5503,Canada,80,8.22
5504,Chile,1,10.0
5505,China,7,7.74
5506,Colombia,3,8.33
5507,Croatia,1,9.0
5508,Czech Republic,4,5.25
5509,Denmark,6,8.5
5510,England,6,8.17
5511,Estonia,3,7.33
5512,Finland,9,7.9
5513,France,10,8.2
5514,Germany,92,8.3
5515,Greece,15,8.64
5516,Hungary,4,7.13
5517,India,1,8.5
5518,Ireland,5,9.0
5519,Israel,3,7.37
5520,Italy,19,6.85
5521,Japan,5,5.2
5522,Latvia,4,7.9
5523,Lithuania,6,8.33
5524,Malaysia,2,7.75
5525,Mexico,1,10.0
5526,Moldova,1,9.0
5527,Netherlands,14,8.08
5528,New Zealand,7,7.07
5529,Norway,9,8.02
5530,Peru,1,9.0
5531,Philippines,5,7.7
5532,Poland,79,8.4
5533,Portugal,5,8.9
5534,Qatar,1,7.2
5535,Romania,6,9.42
5536,Russia,10,7.31
5537,Republic of Serbia,1,8.5
5538,Slovakia,1,10.0
5539,Slovenia,2,7.8
5540,South Africa,1,9.0
5541,South Korea,13,7.98
5542,Spain,56,7.92
5543,Sweden,14,7.7
5544,Switzerland,10,8.7
5545,Taiwan,7,8.26
5546,Thailand,3,8.5
5547,Ukraine,4,8.75
5548,USA,371,7.89
5549,Uruguay,1,9.5
5550,Venezuela,1,7.0
5551,Vietnam,2,8.0
5552,Argentina,3,6.67
5553,Australia,58,7.22
5554,Austria,11,7.27
5555,Belarus,1,8.0
5556,Belgium,28,7.34
5557,Brazil,21,7.92
5558,Bulgaria,1,9.0
5559,Canada,158,7.31
5560,Chile,3,8.13
5561,China,2,7.35
5562,Colombia,2,7.5
5563,Croatia,4,7.53
5564,Czech Republic,7,8.0
5565,Denmark,20,7.01
5566,England,10,7.75
5567,Estonia,3,8.6
5568,Finland,23,7.5
5569,France,17,7.7
5570,Germany,142,8.0
5571,Greece,22,7.98
5572,Hungary,4,8.0
5573,Iceland,1,10.0
5574,Ireland,4,6.88
5575,Israel,5,6.8
5576,Italy,36,7.44
5577,Japan,10,5.53
5578,Latvia,1,7.0
5579,Lithuania,2,7.0
5580,Luxembourg,3,8.67
5581,Malaysia,5,7.62
5582,Mexico,3,8.33
5583,Netherlands,39,7.87
5584,New Zealand,10,7.27
5585,Norway,18,7.59
5586,Philippines,2,6.5
5587,Poland,15,7.43
5588,Portugal,4,6.88
5589,Romania,2,8.6
5590,Russia,7,6.86
5591,Saudi Arabia,1,10.0
5592,Republic of Serbia,3,7.67
5593,Slovenia,1,8.0
5594,South Africa,3,5.83
5595,South Korea,11,7.64
5596,Spain,47,7.26
5597,Sweden,77,7.78
5598,Switzerland,11,7.86
5599,Taiwan,5,6.88
5600,Thailand,1,6.0
5601,Turkey,1,9.0
5602,Ukraine,6,7.0
5603,USA,1101,7.37
5604,Venezuela,2,9.9
5605,Argentina,1,8.0
5606,Australia,24,7.03
5607,Austria,6,6.65
5608,Belgium,11,7.7
5609,Brazil,10,6.89
5610,Brunei,1,7.0
5611,Bulgaria,1,8.0
5612,Canada,79,7.11
5613,Chile,2,7.25
5614,China,6,7.03
5615,Colombia,1,9.0
5616,Czech Republic,5,6.9
5617,Denmark,8,6.5
5618,England,3,6.63
5619,Estonia,3,6.33
5620,Finland,8,6.51
5621,France,15,7.68
5622,Germany,81,7.4
5623,Greece,7,8.27
5624,Hungary,2,6.5
5625,Iceland,1,7.5
5626,India,1,8.0
5627,Indonesia,2,7.75
5628,Ireland,3,7.83
5629,Israel,2,7.4
5630,Italy,13,6.77
5631,Japan,11,6.08
5632,Latvia,4,7.43
5633,Lithuania,1,7.0
5634,Luxembourg,1,6.0
5635,Malaysia,1,8.0
5636,Mexico,2,7.5
5637,Netherlands,17,7.31
5638,New Zealand,8,7.04
5639,Norway,12,7.28
5640,Philippines,1,6.0
5641,Poland,19,6.72
5642,Portugal,4,6.6
5643,Romania,3,8.07
5644,Russia,3,7.67
5645,Republic of Serbia,1,7.0
5646,Slovakia,1,8.0
5647,South Africa,1,7.0
5648,South Korea,11,7.11
5649,Spain,37,7.35
5650,Sweden,12,7.27
5651,Switzerland,3,7.67
5652,Taiwan,8,7.15
5653,Thailand,2,7.75
5654,Turkey,1,7.0
5655,USA,500,7.18
5656,Argentina,1,6.0
5657,Australia,29,5.85
5658,Austria,9,6.56
5659,The Bahamas,1,6.0
5660,Belgium,26,6.28
5661,Brazil,22,7.81
5662,Brunei,1,6.0
5663,Bulgaria,1,6.0
5664,Canada,68,6.59
5665,Chile,2,6.0
5666,China,9,6.76
5667,Colombia,3,8.0
5668,Costa Rica,1,8.0
5669,Croatia,1,9.0
5670,Czech Republic,1,5.0
5671,Denmark,6,6.08
5672,England,5,5.8
5673,Estonia,2,7.5
5674,Finland,13,6.18
5675,France,6,6.5
5676,Germany,59,6.39
5677,Greece,9,6.57
5678,Guatemala,1,7.0
5679,Hungary,6,6.75
5680,India,1,8.0
5681,Ireland,1,7.0
5682,Israel,5,6.22
5683,Italy,12,5.71
5684,Japan,27,7.81
5685,Latvia,2,6.0
5686,Lithuania,3,6.33
5687,Malaysia,3,6.67
5688,Mexico,5,8.95
5689,Netherlands,39,6.19
5690,New Zealand,8,6.69
5691,Norway,10,6.5
5692,Peru,2,8.0
5693,Philippines,1,8.0
5694,Poland,39,7.26
5695,Portugal,5,6.85
5696,Romania,4,6.75
5697,Russia,6,7.33
5698,Saudi Arabia,1,7.0
5699,Slovenia,1,6.0
5700,South Africa,3,6.0
5701,South Korea,26,7.92
5702,Spain,58,7.11
5703,Sweden,19,6.58
5704,Switzerland,5,7.0
5705,Taiwan,17,7.35
5706,Thailand,1,8.0
5707,Ukraine,1,6.0
5708,USA,479,6.37
5709,Venezuela,2,8.5
5710,Argentina,10,6.7
5711,Australia,47,6.9
5712,Austria,7,7.29
5713,Belarus,3,6.33
5714,Belgium,46,7.38
5715,Bolivia,1,6.5
5716,Brazil,48,7.62
5717,Brunei,1,8.0
5718,Bulgaria,8,7.31
5719,Canada,100,6.83
5720,Chile,6,6.83
5721,China,18,7.06
5722,Colombia,2,7.5
5723,Croatia,1,7.0
5724,Czech Republic,5,5.0
5725,Denmark,5,7.3
5726,England,5,7.36
5727,Estonia,13,7.4
5728,Finland,8,7.25
5729,France,28,6.7
5730,Germany,66,6.52
5731,Greece,38,7.08
5732,Hungary,21,7.07
5733,Iceland,1,6.0
5734,India,1,6.0
5735,Indonesia,8,8.09
5736,Ireland,4,7.75
5737,Israel,9,7.11
5738,Italy,30,6.75
5739,Japan,25,6.17
5740,Latvia,11,6.94
5741,Lithuania,16,7.55
5742,Luxembourg,2,7.0
5743,Malaysia,9,7.76
5744,Mexico,1,9.0
5745,Moldova,1,10.0
5746,Netherlands,40,6.69
5747,New Zealand,14,6.76
5748,Norway,6,6.67
5749,Peru,1,10.0
5750,Philippines,3,6.33
5751,Poland,86,7.25
5752,Portugal,13,7.19
5753,Romania,20,8.06
5754,Russia,8,6.63
5755,Saudi Arabia,1,8.0
5756,Republic of Serbia,3,8.33
5757,Slovakia,4,7.38
5758,Slovenia,2,6.5
5759,South Africa,2,7.0
5760,South Korea,13,6.98
5761,Spain,142,6.9
5762,Sri Lanka,1,9.0
5763,Sweden,13,7.15
5764,Switzerland,4,6.63
5765,Taiwan,32,7.22
5766,Thailand,7,6.86
5767,Turkey,2,7.25
5768,Ukraine,13,7.25
5769,USA,485,6.84
5770,Uruguay,2,8.25
5771,Venezuela,2,6.5
5772,Vietnam,1,6.0
5773,Argentina,5,7.9
5774,Australia,43,7.6
5775,Austria,11,7.5
5776,Belgium,26,7.72
5777,Brazil,21,7.61
5778,Brunei,1,7.0
5779,Bulgaria,1,8.0
5780,Canada,88,7.46
5781,Chile,2,9.95
5782,China,17,7.85
5783,Colombia,1,8.0
5784,Croatia,3,7.4
5785,Czech Republic,14,8.5
5786,Denmark,11,7.44
5787,England,9,7.5
5788,Estonia,3,8.3
5789,Finland,19,7.33
5790,France,18,8.42
5791,Germany,131,8.19
5792,Greece,18,8.0
5793,Hungary,11,7.94
5794,India,1,7.8
5795,Indonesia,3,7.67
5796,Ireland,2,8.5
5797,Israel,6,7.87
5798,Italy,38,7.76
5799,Japan,28,7.16
5800,Latvia,6,7.8
5801,Lithuania,5,8.2
5802,Luxembourg,2,4.25
5803,Malaysia,4,6.75
5804,Mexico,2,8.35
5805,Netherlands,28,7.74
5806,New Zealand,9,7.72
5807,Norway,13,7.85
5808,Philippines,1,2.0
5809,Poland,27,7.87
5810,Portugal,9,8.1
5811,Romania,3,8.0
5812,Russia,7,7.93
5813,Saudi Arabia,1,9.0
5814,Republic of Serbia,1,8.0
5815,Slovakia,3,8.17
5816,Slovenia,2,8.5
5817,South Africa,3,7.33
5818,South Korea,28,7.94
5819,Spain,56,8.12
5820,Sweden,20,7.19
5821,Switzerland,8,8.0
5822,Taiwan,21,8.2
5823,Thailand,4,8.63
5824,Ukraine,2,5.0
5825,USA,641,7.46
5826,Venezuela,2,7.0
5827,Argentina,4,8.13
5828,Australia,31,7.56
5829,Austria,6,8.17
5830,Belgium,22,7.51
5831,Bolivia,1,10.0
5832,Brazil,31,8.0
5833,Bulgaria,2,6.0
5834,Canada,102,7.71
5835,Chile,4,7.38
5836,China,14,7.08
5837,Colombia,1,7.5
5838,Croatia,3,8.67
5839,Czech Republic,3,7.17
5840,Denmark,10,7.65
5841,England,3,7.83
5842,Estonia,3,5.83
5843,Finland,33,7.82
5844,France,16,7.59
5845,Germany,76,7.64
5846,Greece,15,7.82
5847,Hungary,9,7.72
5848,India,4,8.3
5849,Indonesia,1,8.0
5850,Ireland,1,8.0
5851,Israel,6,7.78
5852,Italy,39,7.72
5853,Japan,16,6.96
5854,Latvia,2,8.5
5855,Lithuania,6,8.17
5856,Luxembourg,1,8.5
5857,Malaysia,6,7.92
5858,Mexico,3,8.95
5859,Moldova,1,10.0
5860,Netherlands,17,6.99
5861,New Zealand,10,7.05
5862,Norway,10,8.1
5863,Philippines,1,8.0
5864,Poland,43,7.69
5865,Portugal,10,7.8
5866,Russia,5,6.4
5867,Slovenia,2,8.75
5868,South Korea,28,7.14
5869,Spain,74,8.15
5870,Sweden,21,7.22
5871,Switzerland,5,8.0
5872,Taiwan,13,7.53
5873,Thailand,8,7.49
5874,Turkey,1,10.0
5875,Ukraine,2,8.0
5876,USA,645,7.65
5877,Venezuela,1,8.0
5878,Argentina,8,8.13
5879,Australia,47,7.72
5880,Austria,12,7.5
5881,Belgium,33,7.83
5882,Brazil,25,7.9
5883,Brunei,1,6.0
5884,Bulgaria,2,8.0
5885,Canada,148,7.8
5886,Chile,7,8.29
5887,China,18,7.22
5888,Colombia,4,6.88
5889,Croatia,1,8.5
5890,Czech Republic,15,7.7
5891,Denmark,9,7.22
5892,England,7,7.89
5893,Estonia,5,8.0
5894,Finland,27,7.7
5895,France,18,8.01
5896,Germany,165,7.87
5897,Greece,17,8.05
5898,Hungary,11,8.18
5899,India,3,9.0
5900,Indonesia,3,7.83
5901,Ireland,7,7.43
5902,Israel,6,7.88
5903,Italy,38,7.62
5904,Japan,34,7.23
5905,Latvia,2,7.0
5906,Lithuania,1,8.0
5907,Luxembourg,3,8.0
5908,Malaysia,6,7.83
5909,Mexico,3,7.23
5910,Netherlands,45,7.91
5911,New Zealand,20,7.36
5912,Norway,13,7.78
5913,Philippines,3,6.0
5914,Poland,21,7.49
5915,Portugal,11,7.5
5916,Qatar,1,8.0
5917,Romania,1,8.2
5918,Russia,3,7.67
5919,Republic of Serbia,1,8.3
5920,Slovakia,2,7.25
5921,Slovenia,2,8.75
5922,South Africa,2,9.0
5923,South Korea,30,7.42
5924,Spain,76,7.65
5925,Sweden,35,7.06
5926,Switzerland,10,7.65
5927,Taiwan,22,7.98
5928,Thailand,3,7.7
5929,Ukraine,2,5.5
5930,USA,1091,7.74
5931,Venezuela,2,8.5
5932,Argentina,1,6.0
5933,Australia,43,6.95
5934,Austria,13,7.0
5935,Belgium,23,6.59
5936,Brazil,36,6.73
5937,Brunei,1,8.0
5938,Bulgaria,1,6.0
5939,Canada,143,6.73
5940,Chile,3,7.17
5941,China,6,7.17
5942,Croatia,3,8.67
5943,Czech Republic,2,5.25
5944,Denmark,12,6.0
5945,England,3,7.33
5946,Estonia,3,7.33
5947,Finland,24,6.5
5948,France,11,6.12
5949,Germany,127,6.77
5950,Greece,13,6.45
5951,Hungary,9,7.64
5952,Iceland,2,6.5
5953,India,3,6.33
5954,Ireland,2,7.5
5955,Israel,5,6.21
5956,Italy,37,7.01
5957,Japan,25,6.39
5958,Kenya,1,3.5
5959,Latvia,3,6.0
5960,Lithuania,4,6.63
5961,Luxembourg,1,7.0
5962,Mexico,2,7.25
5963,Netherlands,21,7.26
5964,New Zealand,12,6.5
5965,Norway,12,5.88
5966,Poland,15,6.9
5967,Portugal,6,6.48
5968,Romania,2,7.75
5969,Russia,3,7.33
5970,Republic of Serbia,2,7.0
5971,Slovakia,1,8.0
5972,Slovenia,3,5.67
5973,South Africa,2,5.0
5974,South Korea,13,6.86
5975,Spain,10,7.65
5976,Sweden,21,6.38
5977,Switzerland,7,6.79
5978,Taiwan,8,7.13
5979,Thailand,1,8.5
5980,Ukraine,2,7.0
5981,USA,599,6.82
5982,Argentina,12,7.75
5983,Australia,70,6.88
5984,Austria,7,6.03
5985,The Bahamas,1,6.75
5986,Belgium,30,6.57
5987,Brazil,33,7.15
5988,Bulgaria,5,8.6
5989,Canada,255,6.83
5990,Chile,6,7.17
5991,China,2,7.5
5992,Colombia,2,8.0
5993,Costa Rica,1,6.0
5994,Croatia,3,7.0
5995,Czech Republic,4,6.38
5996,Denmark,13,6.81
5997,Ecuador,1,7.0
5998,England,9,6.94
5999,Estonia,10,7.35
6000,Finland,27,6.12
6001,France,15,6.45
6002,Germany,84,6.45
6003,Greece,27,6.96
6004,Guatemala,1,8.0
6005,Hungary,17,6.74
6006,Iceland,1,7.5
6007,India,2,7.0
6008,Indonesia,1,8.0
6009,Ireland,6,6.67
6010,Israel,6,7.36
6011,Italy,26,6.4
6012,Japan,6,7.0
6013,Latvia,6,7.0
6014,Lithuania,4,6.5
6015,Malaysia,4,7.18
6016,Mexico,15,7.41
6017,Moldova,1,8.0
6018,Netherlands,39,6.87
6019,New Zealand,15,6.72
6020,Norway,21,6.74
6021,Peru,2,6.0
6022,Philippines,3,7.67
6023,Poland,62,6.79
6024,Portugal,15,6.57
6025,Qatar,1,8.0
6026,Romania,5,7.5
6027,Russia,11,6.44
6028,Republic of Serbia,1,8.0
6029,Slovakia,2,7.0
6030,Slovenia,5,6.8
6031,South Africa,4,8.25
6032,South Korea,9,5.72
6033,Spain,76,6.93
6034,Sri Lanka,1,7.0
6035,Sweden,32,6.2
6036,Switzerland,3,7.33
6037,Taiwan,1,8.0
6038,Thailand,2,7.5
6039,Turkey,2,9.0
6040,USA,1385,6.79
6041,Venezuela,1,8.0
6042,Argentina,10,8.54
6043,Australia,39,8.35
6044,Austria,7,8.29
6045,Belarus,1,7.0
6046,Belgium,13,8.12
6047,Bolivia,1,1.0
6048,Brazil,31,8.75
6049,Bulgaria,2,8.5
6050,Canada,141,8.5
6051,Chile,10,8.25
6052,China,11,7.93
6053,Colombia,5,9.66
6054,Croatia,3,8.97
6055,Czech Republic,8,8.75
6056,Denmark,6,8.4
6057,England,7,8.71
6058,Estonia,2,9.75
6059,Finland,8,7.69
6060,France,21,8.33
6061,Germany,74,8.38
6062,Greece,18,8.84
6063,Hungary,4,7.63
6064,India,1,8.0
6065,Indonesia,2,9.0
6066,Iraq,1,9.0
6067,Ireland,5,8.4
6068,Israel,7,8.72
6069,Italy,32,8.11
6070,Japan,17,8.68
6071,Latvia,5,8.3
6072,Lebanon,1,8.0
6073,Lithuania,6,9.0
6074,Luxembourg,2,8.0
6075,Malaysia,2,8.5
6076,Mexico,10,7.73
6077,Netherlands,18,8.51
6078,New Zealand,10,7.77
6079,Norway,8,8.38
6080,Paraguay,1,10.0
6081,Peru,1,10.0
6082,Philippines,8,8.44
6083,Poland,35,8.58
6084,Portugal,14,9.08
6085,Qatar,1,6.8
6086,Romania,5,9.6
6087,Russia,8,8.28
6088,Republic of Serbia,4,9.0
